GEO.id,GEO.id2,GEO.display-label,VD004,VD008,VD060,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075
Id,Id2,Geography,RECORD CODES - Summary Level,RECORD CODES - Logical Record Number,GEOGRAPHIC AREA CODES - ZIP Code Tabulation Area (5 digit),AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,AREA CHARACTERISTICS - Functional Status Code,AREA CHARACTERISTICS - Geographic Change User Note Indicator,AREA CHARACTERISTICS - Population Count (100%),AREA CHARACTERISTICS - Housing Unit Count (100%),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
8600000US94102,94102,ZCTA5 94102,860,146440,94102,1737493,0,ZCTA5 94102,S, ,31176,18758,37.7795882,-122.4193184
8600000US94103,94103,ZCTA5 94103,860,146442,94103,3512156,0,ZCTA5 94103,S, ,27170,14778,37.773134,-122.4111673
8600000US94104,94104,ZCTA5 94104,860,146444,94104,200977,0,ZCTA5 94104,S, ,406,368,37.7914094,-122.4021298
8600000US94105,94105,ZCTA5 94105,860,146446,94105,956710,211026,ZCTA5 94105,S, ,5846,4601,37.789864,-122.3936648
8600000US94107,94107,ZCTA5 94107,860,146448,94107,4640746,234303,ZCTA5 94107,S, ,26599,15141,37.7604596,-122.3997237
8600000US94108,94108,ZCTA5 94108,860,146450,94108,699434,0,ZCTA5 94108,S, ,13768,8843,37.7920074,-122.4085752
8600000US94109,94109,ZCTA5 94109,860,146452,94109,3076630,295388,ZCTA5 94109,S, ,55984,37182,37.7953876,-122.4224529
8600000US94110,94110,ZCTA5 94110,860,146454,94110,6022589,12207,ZCTA5 94110,S, ,69333,28913,37.7500215,-122.4152015
8600000US94111,94111,ZCTA5 94111,860,146456,94111,891185,494331,ZCTA5 94111,S, ,3713,2811,37.7993672,-122.3984074
8600000US94112,94112,ZCTA5 94112,860,146458,94112,8712507,0,ZCTA5 94112,S, ,79407,23081,37.7203748,-122.4429499
8600000US94114,94114,ZCTA5 94114,860,146460,94114,3691502,0,ZCTA5 94114,S, ,31124,17634,37.7580567,-122.4354097
8600000US94115,94115,ZCTA5 94115,860,146462,94115,2889747,0,ZCTA5 94115,S, ,33021,18884,37.7859694,-122.4372532
8600000US94116,94116,ZCTA5 94116,860,146464,94116,6696583,97204,ZCTA5 94116,S, ,43698,16283,37.7453994,-122.4860655
8600000US94117,94117,ZCTA5 94117,860,146466,94117,4370658,1625,ZCTA5 94117,S, ,39169,19255,37.7694362,-122.4476618
8600000US94118,94118,ZCTA5 94118,860,146468,94118,5047351,59174,ZCTA5 94118,S, ,38319,18633,37.7800974,-122.462605
8600000US94121,94121,ZCTA5 94121,860,146470,94121,7981770,61194,ZCTA5 94121,S, ,41203,18787,37.7767691,-122.4947073
8600000US94122,94122,ZCTA5 94122,860,146472,94122,6122506,0,ZCTA5 94122,S, ,56023,23633,37.7587967,-122.4851278
8600000US94123,94123,ZCTA5 94123,860,146474,94123,2643367,222780,ZCTA5 94123,S, ,23088,15083,37.8009336,-122.4383664
8600000US94124,94124,ZCTA5 94124,860,146476,94124,12759593,2806558,ZCTA5 94124,S, ,33996,10812,37.7288947,-122.3827787
8600000US94127,94127,ZCTA5 94127,860,146478,94127,4585465,9359,ZCTA5 94127,S, ,19289,7801,37.7362198,-122.459338
8600000US94128,94128,ZCTA5 94128,860,146480,94128,9108453,17894,ZCTA5 94128,S, ,69,0,37.6263694,-122.3856944
8600000US94129,94129,ZCTA5 94129,860,146482,94129,5968616,14697,ZCTA5 94129,S, ,3183,1132,37.7973356,-122.4644622
8600000US94130,94130,ZCTA5 94130,860,146484,94130,2333737,0,ZCTA5 94130,S, ,2880,786,37.8208942,-122.3697253
8600000US94131,94131,ZCTA5 94131,860,146486,94131,5386048,50550,ZCTA5 94131,S, ,26881,13427,37.745916,-122.4414719
8600000US94132,94132,ZCTA5 94132,860,146488,94132,8055033,1299132,ZCTA5 94132,S, ,28129,10769,37.7219689,-122.4841664
8600000US94133,94133,ZCTA5 94133,860,146490,94133,1955574,646925,ZCTA5 94133,S, ,26237,15197,37.8045315,-122.410852
8600000US94134,94134,ZCTA5 94134,860,146492,94134,6215356,90877,ZCTA5 94134,S, ,40798,11867,37.7210518,-122.4135725
8600000US94158,94158,ZCTA5 94158,860,146494,94158,1702946,1342605,ZCTA5 94158,S, ,4792,2482,37.7681061,-122.3869269
